CUTOUT,SEQUENCE_LENGTH,SCORE,IDX
E2_Y3_30,10,0.9825640814753117,5094.0
E1_Y1_57,10,0.9825479731743578,5798.0
E2_Y5_19,10,0.9825441863798443,10609.0
C3_Y1_62,10,0.9825407990179442,3476.0
X3_Y3_26,10,0.9825308094463343,11599.0
E2_Y5_19,10,0.9825242720015535,10605.0
X3_Y3_26,10,0.982522557438763,11600.0
E2_Y5_15,10,0.9825193740509078,2631.0
C3_Y3_46,10,0.9825070308962344,5292.0
X3_Y2_59,10,0.9825022903115928,7055.0
E2_Y1_45,10,0.9824927117725676,15651.0
E2_Y5_19,10,0.9824877200570651,10604.0
E2_Y5_19,10,0.9824790977398095,10607.0
X3_Y3_26,10,0.9824790898866478,11598.0
E1_Y2_18,10,0.9824745321103615,12414.0
E2_Y2_40,10,0.9824732890305767,14958.0
C3_Y3_46,10,0.9824730445323256,5294.0
C3_Y5_27,10,0.982467255739846,1449.0
C3_Y3_46,10,0.9824665876439516,5293.0
E1_Y2_5,10,0.9824634337291066,11260.0
E2_Y5_15,10,0.9824456586939546,2632.0
C3_Y1_58,10,0.9824434285379906,345.0
X3_Y4_51,10,0.9824412546598642,10729.0
X3_Y3_29,10,0.9824409647930471,6536.0
E1_Y1_57,10,0.98243861603542,5800.0
E1_Y1_57,10,0.9824367417412153,5799.0
X3_Y5_41,10,0.9824297038513473,736.0
E2_Y5_15,10,0.9824269200380304,2633.0
E2_Y2_38,10,0.9824196462126962,482.0
E1_Y2_27,10,0.9824138684430276,4096.0
E2_Y5_19,10,0.9824121515053653,10606.0
E2_Y3_30,10,0.9824086056893725,5091.0
C3_Y2_10,10,0.9824080693373598,1086.0
X3_Y2_8,10,0.9824020417993065,206.0
C3_Y5_9,10,0.9823990569828996,5239.0
E2_Y5_19,10,0.9823901019943657,10602.0
C3_Y1_58,10,0.9823848308103889,342.0
E2_Y1_38,10,0.9823801182038181,167.0
E2_Y5_19,10,0.9823788685008848,10601.0
E1_Y1_44,10,0.9823753469066917,12435.0
E2_Y5_47,10,0.9823733116699827,10597.0
E2_Y3_3,10,0.9823617556575637,8721.0
C3_Y1_58,10,0.9823551403718669,343.0
C3_Y2_10,10,0.982352022080098,1088.0
E2_Y4_3,10,0.98234955392603,2221.0
X3_Y3_51,10,0.9823432206918352,690.0
X3_Y2_53,10,0.9823424067163684,3082.0
E1_Y2_53,10,0.9823384857463313,7391.0
E2_Y4_3,10,0.9823188530883852,2220.0
E2_Y5_47,10,0.9823085662698788,10598.0
E2_Y2_40,10,0.9823081281202325,14957.0
X3_Y1_49,10,0.9823047322144711,1487.0
E1_Y1_57,10,0.9822996314346389,5797.0
C3_Y4_28,10,0.9822975345080343,917.0
